=========================================================================
ผลการตรวจสอบข้อมูลรหัสใบสั่งซื้อ (WO/PO) จาก check.txt เทียบกับฐานข้อมูลระบบ
วันที่ตรวจสอบ: 10/07/2026 20:48:43
=========================================================================
จำนวนรายการทั้งหมดใน check.txt: 245 รายการ
พบในฐานข้อมูล (มีข้อมูลตรงกัน): 152 รายการ
ไม่พบในฐานข้อมูล (ไม่มีข้อมูลในระบบ): 93 รายการ
=========================================================================

--- 1. รายการที่ไม่พบในฐานข้อมูล (Missing in Data) ---
001. ใบสั่งซื้อ: WO24100150   | รหัสกลุ่ม: LAA00    | รายการ: ชุดกวนเม็ด ต้นแบบ KC
002. ใบสั่งซื้อ: WO25090196   | รหัสกลุ่ม: LBB00    | รายการ: ติดตั้งเซ็นเซอร์และติดตั้งเซ็นเซอร์ตรวจจับคนที่เครื่องทอ L11
003. ใบสั่งซื้อ: WO25110088   | รหัสกลุ่ม: LAA00    | รายการ: ระบบ Real Time ชักใย KC เครื่อง6
004. ใบสั่งซื้อ: WO26010095   | รหัสกลุ่ม: LBB00    | รายการ: เพลาแขนเข้า-ออกตะขอล่าง ZRS12.6 (L-R)
005. ใบสั่งซื้อ: WO26010109   | รหัสกลุ่ม: LBB00    | รายการ: ขาโยกเข้าออกตะขอล่า- สะพานส่งทิ้งตะขอล่าง-สะพานเข้า-ออกตะขอล่าง ZRS12.6
006. ใบสั่งซื้อ: WO26010385   | รหัสกลุ่ม: LBB00    | รายการ: ปลอกทองเหลือง 10*12 รูใน7 มิล
007. ใบสั่งซื้อ: WO26010333   | รหัสกลุ่ม: LBB00    | รายการ: พลูเล่ย์ส่งกำลัง ZRS12.6
008. ใบสั่งซื้อ: WO26020235   | รหัสกลุ่ม: LBB00    | รายการ: เฟืองขับชิด-ห่างรังผึ้งZRS17.2 (ตั้งขับ+ตัวตาม)
009. ใบสั่งซื้อ: WO26020184   | รหัสกลุ่ม: LBB00    | รายการ: ปลอกสลีปเฟืองลูกเบี้ยวใหญ่ ZRS12.6 และซ่อมร่องลูกเบี้ยวส่งทิ้ง
010. ใบสั่งซื้อ: WO26020209   | รหัสกลุ่ม: LBB00    | รายการ: ปลอกทองเหลือง 8*10.5 รูใน 6 มิล
011. ใบสั่งซื้อ: WO26020231   | รหัสกลุ่ม: LBB00    | รายการ: เพลาลูกเบี้ยวเฟืองใหญ่  ZRS12.6   R-L
012. ใบสั่งซื้อ: WO26020233   | รหัสกลุ่ม: LBB00    | รายการ: เพลาลูกเบี้ยวเฟืองใหญ่ ZRS15.8  R-L
013. ใบสั่งซื้อ: WO26030052   | รหัสกลุ่ม: LBB00    | รายการ: ชุดเฟืองขับ+เฟืองหัวเพลาหนามเตย ZRS12.6
